102, 'http://v.youku.com/v_show/id_XNzMzMTIwMTU2.html', 'game.youku.com', '英雄联盟', '精彩TOP10 VOL50 蜘蛛侠助队友塔下2V4！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
103, 'http://v.youku.com/v_show/id_XNzMyNzQ0ODY4.html', 'game.youku.com', '英雄联盟', '提莫萌萌哒，我才不是小学生！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
104, 'http://v.youku.com/v_show/id_XNzMyNzUwNzMy.html', 'game.youku.com', '英雄联盟', '快嘴高贱翔第四期.十个六级亚索怎么玩！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
105, 'http://v.youku.com/v_show/id_XNzMyNTAyNjgw.html', 'game.youku.com', '英雄联盟', 'LOL英雄MV第一季第一集 吸血鬼', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
106, 'http://v.youku.com/v_show/id_XNzMyMjY5NTU2.html', 'game.youku.com', '英雄联盟', '敌方4路针对照样杀爆全场', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
107, 'http://v.youku.com/v_show/id_XNzMxNzU5NDIw.html', 'game.youku.com', '英雄联盟', '虚空之眼剑姬两连发', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
108, 'http://v.youku.com/v_show/id_XNzMxMDUzODY0.html', 'game.youku.com', '英雄联盟', '最强瑞文教你如何极限反杀！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
109, 'http://v.youku.com/v_show/id_XNzMxNTgzNjYw.html', 'game.youku.com', '英雄联盟', '亚索中单教你如何吹箫', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
110, 'http://v.youku.com/v_show/id_XNzMyMjU1NzAw.html', 'game.youku.com', '英雄联盟', '四杀超神维鲁斯', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
111, 'http://v.youku.com/v_show/id_XNzMxODk3MTAw.html', 'game.youku.com', '英雄联盟', '打野上新套路，钻1盲僧2连发 ', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
112, 'http://v.youku.com/v_show/id_XNzMwOTM3Mzg0.html', 'game.youku.com', '英雄联盟', '不祥之刃小彩旗，单身30年的手速！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
113, 'http://v.youku.com/v_show/id_XNzMxNzQ3MzY0.html', 'game.youku.com', '英雄联盟', '一个W瞬秒ADC 无解卡萨丁', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
114, 'http://v.youku.com/v_show/id_XNzMxNzY1NTcy.html', 'game.youku.com', '英雄联盟', '大招无CD的盖伦！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
115, 'http://v.youku.com/v_show/id_XNzMxNjI0OTY0.html', 'game.youku.com', '英雄联盟', '整容死歌炫酷归来 4V5华丽CARRY', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
116, 'http://v.youku.com/v_show/id_XNzMwODYwMDQw.html', 'game.youku.com', '英雄联盟', '卡特二次四杀疯狂收割机', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
117, 'http://v.youku.com/v_show/id_XNzMwNzg4NzI4.html', 'game.youku.com', '英雄联盟', '恶魔小丑萨科，暴力17杀，前期强势打野，考智商型英雄', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
118, 'http://v.youku.com/v_show/id_XNzMwNzUxNjk2.html', 'game.youku.com', '英雄联盟', '小漠来唱歌啦-我是解说，也会唱歌', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
119, 'http://v.youku.com/v_show/id_XNzMwODA4MjAw.html', 'game.youku.com', '英雄联盟', '逆风不怂 18杀奥巴马大战锤石男枪', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
120, 'http://v.youku.com/v_show/id_XNzMwNzkzNzM2.html', 'game.youku.com', '英雄联盟', '超高爆发三枪带走！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
121, 'http://v.youku.com/v_show/id_XNzMwNTgxMDY0.html', 'game.youku.com', '英雄联盟', '暴踢职业夺新彩蛋！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
122, 'http://v.youku.com/v_show/id_XNzI5NjAwNTM2.html', 'game.youku.com', '英雄联盟', '辅助奶妈的正确玩法 众星之子索拉卡', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
123, 'http://v.youku.com/v_show/id_XNzMwNDA1MjY0.html', 'game.youku.com', '英雄联盟', 'TOP5第83期 机器守门员百射不进', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
124, 'http://v.youku.com/v_show/id_XNzMwNjU5NTYw.html', 'game.youku.com', '英雄联盟', '听故事学辅助之索娜老师的诱惑', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
125, 'http://v.youku.com/v_show/id_XNzMwMzg1MjY4.html', 'game.youku.com', '英雄联盟', '剑圣打野第一视角!五杀剑圣!', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
